,experiment,template,adj,num,noun,adjclass,numclass,nounclass,sent,rating-sent,goodness-sent
340,temporal,0,whopping,twenty,days,adj-quant,num-num,noun-temporal,The family spent a whopping twenty days in London., good,0.9977011506108349
341,temporal,0,whopping,twenty,weeks,adj-quant,num-num,noun-temporal,The family spent a whopping twenty weeks in London., good,0.9976892872165259
342,temporal,0,whopping,twenty,months,adj-quant,num-num,noun-temporal,The family spent a whopping twenty months in London., good,0.9984358416727533
343,temporal,0,whopping,twenty,years,adj-quant,num-num,noun-temporal,The family spent a whopping twenty years in London., good,0.9977738692126064
344,temporal,0,whopping,twenty,hours,adj-quant,num-num,noun-temporal,The family spent a whopping twenty hours in London., good,0.9976094180032871
345,temporal,0,hefty,three,days,adj-quant,num-num,noun-temporal,The family spent a hefty three days in London., good,0.9978033122576763
346,temporal,0,hefty,three,weeks,adj-quant,num-num,noun-temporal,The family spent a hefty three weeks in London., good,0.9978337115968946
347,temporal,0,hefty,three,months,adj-quant,num-num,noun-temporal,The family spent a hefty three months in London., good,0.9982822399415202
348,temporal,0,hefty,three,years,adj-quant,num-num,noun-temporal,The family spent a hefty three years in London., good,0.9979158488653335
349,temporal,0,hefty,three,hours,adj-quant,num-num,noun-temporal,The family spent a hefty three hours in London., good,0.9970476402112111
350,temporal,0,hefty,five,days,adj-quant,num-num,noun-temporal,The family spent a hefty five days in London., good,0.9985696530227307
351,temporal,0,hefty,five,weeks,adj-quant,num-num,noun-temporal,The family spent a hefty five weeks in London., good,0.9983348709682133
352,temporal,0,hefty,five,months,adj-quant,num-num,noun-temporal,The family spent a hefty five months in London., good,0.9984152764026167
353,temporal,0,hefty,five,years,adj-quant,num-num,noun-temporal,The family spent a hefty five years in London., good,0.9981950366092042
354,temporal,0,hefty,five,hours,adj-quant,num-num,noun-temporal,The family spent a hefty five hours in London., good,0.9980489439890499
355,temporal,0,hefty,twenty,days,adj-quant,num-num,noun-temporal,The family spent a hefty twenty days in London., good,0.9981396629760384
356,temporal,0,hefty,twenty,weeks,adj-quant,num-num,noun-temporal,The family spent a hefty twenty weeks in London., good,0.9973286780473947
357,temporal,0,hefty,twenty,months,adj-quant,num-num,noun-temporal,The family spent a hefty twenty months in London., good,0.9975425431032733
358,temporal,0,hefty,twenty,years,adj-quant,num-num,noun-temporal,The family spent a hefty twenty years in London., good,0.9978535013302191
359,temporal,0,hefty,twenty,hours,adj-quant,num-num,noun-temporal,The family spent a hefty twenty hours in London., good,0.9972240707367516
360,temporal,0,paltry,three,days,adj-quant,num-num,noun-temporal,The family spent a paltry three days in London., good,0.9919155007707412
361,temporal,0,paltry,three,weeks,adj-quant,num-num,noun-temporal,The family spent a paltry three weeks in London., good,0.9911828441290031
362,temporal,0,paltry,three,months,adj-quant,num-num,noun-temporal,The family spent a paltry three months in London., good,0.990563015478451
363,temporal,0,paltry,three,years,adj-quant,num-num,noun-temporal,The family spent a paltry three years in London., good,0.9935790473857471
364,temporal,0,paltry,three,hours,adj-quant,num-num,noun-temporal,The family spent a paltry three hours in London., good,0.9914615533720238
365,temporal,0,paltry,five,days,adj-quant,num-num,noun-temporal,The family spent a paltry five days in London., good,0.9919369581189357
366,temporal,0,paltry,five,weeks,adj-quant,num-num,noun-temporal,The family spent a paltry five weeks in London., good,0.9918287764303579
367,temporal,0,paltry,five,months,adj-quant,num-num,noun-temporal,The family spent a paltry five months in London., good,0.9919383309606358
368,temporal,0,paltry,five,years,adj-quant,num-num,noun-temporal,The family spent a paltry five years in London., good,0.9939868629112228
369,temporal,0,paltry,five,hours,adj-quant,num-num,noun-temporal,The family spent a paltry five hours in London., good,0.9912910832403821
370,temporal,0,paltry,twenty,days,adj-quant,num-num,noun-temporal,The family spent a paltry twenty days in London., good,0.9925830556971301
371,temporal,0,paltry,twenty,weeks,adj-quant,num-num,noun-temporal,The family spent a paltry twenty weeks in London., good,0.9917409796658709
372,temporal,0,paltry,twenty,months,adj-quant,num-num,noun-temporal,The family spent a paltry twenty months in London., good,0.9923490491742194
373,temporal,0,paltry,twenty,years,adj-quant,num-num,noun-temporal,The family spent a paltry twenty years in London., good,0.9925105765539897
374,temporal,0,paltry,twenty,hours,adj-quant,num-num,noun-temporal,The family spent a paltry twenty hours in London., good,0.990925410883452
375,temporal,0,meager,three,days,adj-quant,num-num,noun-temporal,The family spent a meager three days in London., good,0.9955292586506963
376,temporal,0,meager,three,weeks,adj-quant,num-num,noun-temporal,The family spent a meager three weeks in London., good,0.9944039754059826
377,temporal,0,meager,three,months,adj-quant,num-num,noun-temporal,The family spent a meager three months in London., good,0.9940080815764625
378,temporal,0,meager,three,years,adj-quant,num-num,noun-temporal,The family spent a meager three years in London., good,0.9954869400991523
379,temporal,0,meager,three,hours,adj-quant,num-num,noun-temporal,The family spent a meager three hours in London., good,0.9948376028105558
380,temporal,0,meager,five,days,adj-quant,num-num,noun-temporal,The family spent a meager five days in London., good,0.99636402851102
381,temporal,0,meager,five,weeks,adj-quant,num-num,noun-temporal,The family spent a meager five weeks in London., good,0.9949303475859593
382,temporal,0,meager,five,months,adj-quant,num-num,noun-temporal,The family spent a meager five months in London., good,0.9936290564712741
383,temporal,0,meager,five,years,adj-quant,num-num,noun-temporal,The family spent a meager five years in London., good,0.9955792089914811
384,temporal,0,meager,five,hours,adj-quant,num-num,noun-temporal,The family spent a meager five hours in London., good,0.9948876109722883
385,temporal,0,meager,twenty,days,adj-quant,num-num,noun-temporal,The family spent a meager twenty days in London., good,0.996645304407569
386,temporal,0,meager,twenty,weeks,adj-quant,num-num,noun-temporal,The family spent a meager twenty weeks in London., good,0.9949179501346178
387,temporal,0,meager,twenty,months,adj-quant,num-num,noun-temporal,The family spent a meager twenty months in London., good,0.9955095901734289
388,temporal,0,meager,twenty,years,adj-quant,num-num,noun-temporal,The family spent a meager twenty years in London., good,0.9936021141872333
389,temporal,0,meager,twenty,hours,adj-quant,num-num,noun-temporal,The family spent a meager twenty hours in London., good,0.9954519518368038
390,temporal,0,extra,three,days,adj-quant,num-num,noun-temporal,The family spent an extra three days in London., good,0.9935998483795556
391,temporal,0,extra,three,weeks,adj-quant,num-num,noun-temporal,The family spent an extra three weeks in London., good,0.9906317995906104
392,temporal,0,extra,three,months,adj-quant,num-num,noun-temporal,The family spent an extra three months in London., good,0.992247365400113
393,temporal,0,extra,three,years,adj-quant,num-num,noun-temporal,The family spent an extra three years in London., good,0.9927911951854828
394,temporal,0,extra,three,hours,adj-quant,num-num,noun-temporal,The family spent an extra three hours in London., good,0.9930267501289061
395,temporal,0,extra,five,days,adj-quant,num-num,noun-temporal,The family spent an extra five days in London., good,0.9969711652032195
396,temporal,0,extra,five,weeks,adj-quant,num-num,noun-temporal,The family spent an extra five weeks in London., good,0.9951905243450663
397,temporal,0,extra,five,months,adj-quant,num-num,noun-temporal,The family spent an extra five months in London., good,0.9949348170221055
398,temporal,0,extra,five,years,adj-quant,num-num,noun-temporal,The family spent an extra five years in London., good,0.9968047495130669
399,temporal,0,extra,five,hours,adj-quant,num-num,noun-temporal,The family spent an extra five hours in London., good,0.9963116360861207
400,temporal,0,extra,twenty,days,adj-quant,num-num,noun-temporal,The family spent an extra twenty days in London., good,0.9952940588034199
401,temporal,0,extra,twenty,weeks,adj-quant,num-num,noun-temporal,The family spent an extra twenty weeks in London., good,0.9797078088588409
402,temporal,0,extra,twenty,months,adj-quant,num-num,noun-temporal,The family spent an extra twenty months in London., good,0.9907952341316191
403,temporal,0,extra,twenty,years,adj-quant,num-num,noun-temporal,The family spent an extra twenty years in London., good,0.9931242042004738
404,temporal,0,extra,twenty,hours,adj-quant,num-num,noun-temporal,The family spent an extra twenty hours in London., good,0.993455605441244
405,temporal,0,measly,three,days,adj-quant,num-num,noun-temporal,The family spent a measly three days in London., good,0.979540021813904
406,temporal,0,measly,three,weeks,adj-quant,num-num,noun-temporal,The family spent a measly three weeks in London., good,0.9753170093843861
407,temporal,0,measly,three,months,adj-quant,num-num,noun-temporal,The family spent a measly three months in London., good,0.9766746076231698
408,temporal,0,measly,three,years,adj-quant,num-num,noun-temporal,The family spent a measly three years in London., good,0.9801165782445412
409,temporal,0,measly,three,hours,adj-quant,num-num,noun-temporal,The family spent a measly three hours in London., good,0.9673004583006924
410,temporal,0,measly,five,days,adj-quant,num-num,noun-temporal,The family spent a measly five days in London., good,0.9802628480344028
411,temporal,0,measly,five,weeks,adj-quant,num-num,noun-temporal,The family spent a measly five weeks in London., good,0.9734351243931842
412,temporal,0,measly,five,months,adj-quant,num-num,noun-temporal,The family spent a measly five months in London., good,0.9786675904460719
413,temporal,0,measly,five,years,adj-quant,num-num,noun-temporal,The family spent a measly five years in London., good,0.9837441135040648
414,temporal,0,measly,five,hours,adj-quant,num-num,noun-temporal,The family spent a measly five hours in London., good,0.9690127396152826
415,temporal,0,measly,twenty,days,adj-quant,num-num,noun-temporal,The family spent a measly twenty days in London., good,0.976976144822987
416,temporal,0,measly,twenty,weeks,adj-quant,num-num,noun-temporal,The family spent a measly twenty weeks in London., good,0.9558953867540144
417,temporal,0,measly,twenty,months,adj-quant,num-num,noun-temporal,The family spent a measly twenty months in London., good,0.976591163132861
418,temporal,0,measly,twenty,years,adj-quant,num-num,noun-temporal,The family spent a measly twenty years in London., good,0.9772840580580049
419,temporal,0,measly,twenty,hours,adj-quant,num-num,noun-temporal,The family spent a measly twenty hours in London., good,0.9630734095760701
420,temporal,0,substantial,three,days,adj-quant,num-num,noun-temporal,The family spent a substantial three days in London., good,0.998342917879204
421,temporal,0,substantial,three,weeks,adj-quant,num-num,noun-temporal,The family spent a substantial three weeks in London., good,0.99817339956882
422,temporal,0,substantial,three,months,adj-quant,num-num,noun-temporal,The family spent a substantial three months in London., good,0.9984478218764485
423,temporal,0,substantial,three,years,adj-quant,num-num,noun-temporal,The family spent a substantial three years in London., good,0.9981915801652352
424,temporal,0,substantial,three,hours,adj-quant,num-num,noun-temporal,The family spent a substantial three hours in London., good,0.9978125509613149
425,temporal,0,substantial,five,days,adj-quant,num-num,noun-temporal,The family spent a substantial five days in London., good,0.9993148321347753
426,temporal,0,substantial,five,weeks,adj-quant,num-num,noun-temporal,The family spent a substantial five weeks in London., good,0.9991234425011739
427,temporal,0,substantial,five,months,adj-quant,num-num,noun-temporal,The family spent a substantial five months in London., good,0.9991818540140848
428,temporal,0,substantial,five,years,adj-quant,num-num,noun-temporal,The family spent a substantial five years in London., good,0.9991434108820991
429,temporal,0,substantial,five,hours,adj-quant,num-num,noun-temporal,The family spent a substantial five hours in London., good,0.9989532722021204
430,temporal,0,substantial,twenty,days,adj-quant,num-num,noun-temporal,The family spent a substantial twenty days in London., good,0.9984078287516402
431,temporal,0,substantial,twenty,weeks,adj-quant,num-num,noun-temporal,The family spent a substantial twenty weeks in London., good,0.9978716788940913
432,temporal,0,substantial,twenty,months,adj-quant,num-num,noun-temporal,The family spent a substantial twenty months in London., good,0.9982392038237198
433,temporal,0,substantial,twenty,years,adj-quant,num-num,noun-temporal,The family spent a substantial twenty years in London., good,0.9982089251922853
434,temporal,0,substantial,twenty,hours,adj-quant,num-num,noun-temporal,The family spent a substantial twenty hours in London., good,0.9974068201149701
435,temporal,0,record-setting,three,days,adj-quant,num-num,noun-temporal,The family spent a record-setting three days in London., good,0.9976096567312494
436,temporal,0,record-setting,three,weeks,adj-quant,num-num,noun-temporal,The family spent a record-setting three weeks in London., good,0.9972150708301253
437,temporal,0,record-setting,three,months,adj-quant,num-num,noun-temporal,The family spent a record-setting three months in London., good,0.9975735954898751
438,temporal,0,record-setting,three,years,adj-quant,num-num,noun-temporal,The family spent a record-setting three years in London., good,0.9971081989351313
439,temporal,0,record-setting,three,hours,adj-quant,num-num,noun-temporal,The family spent a record-setting three hours in London., good,0.9975238856410455
440,temporal,0,record-setting,five,days,adj-quant,num-num,noun-temporal,The family spent a record-setting five days in London., good,0.9985957030490511
441,temporal,0,record-setting,five,weeks,adj-quant,num-num,noun-temporal,The family spent a record-setting five weeks in London., good,0.9986984006162358
442,temporal,0,record-setting,five,months,adj-quant,num-num,noun-temporal,The family spent a record-setting five months in London., good,0.9988134381219063
443,temporal,0,record-setting,five,years,adj-quant,num-num,noun-temporal,The family spent a record-setting five years in London., good,0.9985488508366834
444,temporal,0,record-setting,five,hours,adj-quant,num-num,noun-temporal,The family spent a record-setting five hours in London., good,0.9985769257318545
445,temporal,0,record-setting,twenty,days,adj-quant,num-num,noun-temporal,The family spent a record-setting twenty days in London., good,0.9979387360284065
446,temporal,0,record-setting,twenty,weeks,adj-quant,num-num,noun-temporal,The family spent a record-setting twenty weeks in London., good,0.9978260817903725
447,temporal,0,record-setting,twenty,months,adj-quant,num-num,noun-temporal,The family spent a record-setting twenty months in London., good,0.9973370828707782
448,temporal,0,record-setting,twenty,years,adj-quant,num-num,noun-temporal,The family spent a record-setting twenty years in London., good,0.9975554179691904
449,temporal,0,record-setting,twenty,hours,adj-quant,num-num,noun-temporal,The family spent a record-setting twenty hours in London., good,0.997862442636577
450,temporal,1,astonishing,three,days,adj-ambig,num-num,noun-temporal,The diplomat worked an astonishing three days in Nairobi., good,0.9950177895884545
451,temporal,1,astonishing,three,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked an astonishing three weeks in Nairobi., good,0.99389757320546
452,temporal,1,astonishing,three,months,adj-ambig,num-num,noun-temporal,The diplomat worked an astonishing three months in Nairobi., good,0.994886716270262
453,temporal,1,astonishing,three,years,adj-ambig,num-num,noun-temporal,The diplomat worked an astonishing three years in Nairobi., good,0.9954750197121586
454,temporal,1,astonishing,three,hours,adj-ambig,num-num,noun-temporal,The diplomat worked an astonishing three hours in Nairobi., good,0.9949308248541615
455,temporal,1,astonishing,five,days,adj-ambig,num-num,noun-temporal,The diplomat worked an astonishing five days in Nairobi., good,0.9960767939602947
456,temporal,1,astonishing,five,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked an astonishing five weeks in Nairobi., good,0.995911207966028
457,temporal,1,astonishing,five,months,adj-ambig,num-num,noun-temporal,The diplomat worked an astonishing five months in Nairobi., good,0.9960252329811734
458,temporal,1,astonishing,five,years,adj-ambig,num-num,noun-temporal,The diplomat worked an astonishing five years in Nairobi., good,0.9971655387921909
459,temporal,1,astonishing,five,hours,adj-ambig,num-num,noun-temporal,The diplomat worked an astonishing five hours in Nairobi., good,0.9966492387723384
460,temporal,1,astonishing,twenty,days,adj-ambig,num-num,noun-temporal,The diplomat worked an astonishing twenty days in Nairobi., good,0.9958035040013685
461,temporal,1,astonishing,twenty,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked an astonishing twenty weeks in Nairobi., good,0.993994253429821
462,temporal,1,astonishing,twenty,months,adj-ambig,num-num,noun-temporal,The diplomat worked an astonishing twenty months in Nairobi., good,0.9932788188590659
463,temporal,1,astonishing,twenty,years,adj-ambig,num-num,noun-temporal,The diplomat worked an astonishing twenty years in Nairobi., good,0.9961318068085823
464,temporal,1,astonishing,twenty,hours,adj-ambig,num-num,noun-temporal,The diplomat worked an astonishing twenty hours in Nairobi., good,0.994279400898692
465,temporal,1,incredible,three,days,adj-ambig,num-num,noun-temporal,The diplomat worked an incredible three days in Nairobi., good,0.9907201361852565
466,temporal,1,incredible,three,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked an incredible three weeks in Nairobi., good,0.9899948637482903
467,temporal,1,incredible,three,months,adj-ambig,num-num,noun-temporal,The diplomat worked an incredible three months in Nairobi., good,0.9913109945130483
468,temporal,1,incredible,three,years,adj-ambig,num-num,noun-temporal,The diplomat worked an incredible three years in Nairobi., good,0.9923392148454024
469,temporal,1,incredible,three,hours,adj-ambig,num-num,noun-temporal,The diplomat worked an incredible three hours in Nairobi., good,0.9890500677697599
470,temporal,1,incredible,five,days,adj-ambig,num-num,noun-temporal,The diplomat worked an incredible five days in Nairobi., good,0.9936831745604737
471,temporal,1,incredible,five,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked an incredible five weeks in Nairobi., good,0.9936717899975593
472,temporal,1,incredible,five,months,adj-ambig,num-num,noun-temporal,The diplomat worked an incredible five months in Nairobi., good,0.9948604917005246
473,temporal,1,incredible,five,years,adj-ambig,num-num,noun-temporal,The diplomat worked an incredible five years in Nairobi., good,0.9956512702286312
474,temporal,1,incredible,five,hours,adj-ambig,num-num,noun-temporal,The diplomat worked an incredible five hours in Nairobi., good,0.9928602748087051
475,temporal,1,incredible,twenty,days,adj-ambig,num-num,noun-temporal,The diplomat worked an incredible twenty days in Nairobi., good,0.9908357064665364
476,temporal,1,incredible,twenty,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked an incredible twenty weeks in Nairobi., good,0.9899424132298981
477,temporal,1,incredible,twenty,months,adj-ambig,num-num,noun-temporal,The diplomat worked an incredible twenty months in Nairobi., good,0.9898863227019954
478,temporal,1,incredible,twenty,years,adj-ambig,num-num,noun-temporal,The diplomat worked an incredible twenty years in Nairobi., good,0.9935518670116754
479,temporal,1,incredible,twenty,hours,adj-ambig,num-num,noun-temporal,The diplomat worked an incredible twenty hours in Nairobi., good,0.9897014292065048
480,temporal,1,impressive,three,days,adj-ambig,num-num,noun-temporal,The diplomat worked an impressive three days in Nairobi., good,0.9953188536787952
481,temporal,1,impressive,three,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked an impressive three weeks in Nairobi., good,0.9947489124156493
482,temporal,1,impressive,three,months,adj-ambig,num-num,noun-temporal,The diplomat worked an impressive three months in Nairobi., good,0.9959425617362142
483,temporal,1,impressive,three,years,adj-ambig,num-num,noun-temporal,The diplomat worked an impressive three years in Nairobi., good,0.9968027239081935
484,temporal,1,impressive,three,hours,adj-ambig,num-num,noun-temporal,The diplomat worked an impressive three hours in Nairobi., good,0.9943504513620438
485,temporal,1,impressive,five,days,adj-ambig,num-num,noun-temporal,The diplomat worked an impressive five days in Nairobi., good,0.9966793990306232
486,temporal,1,impressive,five,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked an impressive five weeks in Nairobi., good,0.9966066210684684
487,temporal,1,impressive,five,months,adj-ambig,num-num,noun-temporal,The diplomat worked an impressive five months in Nairobi., good,0.9976421411264796
488,temporal,1,impressive,five,years,adj-ambig,num-num,noun-temporal,The diplomat worked an impressive five years in Nairobi., good,0.9978362151648177
489,temporal,1,impressive,five,hours,adj-ambig,num-num,noun-temporal,The diplomat worked an impressive five hours in Nairobi., good,0.9960282756437026
490,temporal,1,impressive,twenty,days,adj-ambig,num-num,noun-temporal,The diplomat worked an impressive twenty days in Nairobi., good,0.9949612826402295
491,temporal,1,impressive,twenty,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked an impressive twenty weeks in Nairobi., good,0.9944618520976496
492,temporal,1,impressive,twenty,months,adj-ambig,num-num,noun-temporal,The diplomat worked an impressive twenty months in Nairobi., good,0.9939437687497895
493,temporal,1,impressive,twenty,years,adj-ambig,num-num,noun-temporal,The diplomat worked an impressive twenty years in Nairobi., good,0.9947489124156493
494,temporal,1,impressive,twenty,hours,adj-ambig,num-num,noun-temporal,The diplomat worked an impressive twenty hours in Nairobi., good,0.9937141696119715
495,temporal,1,disappointing,three,days,adj-ambig,num-num,noun-temporal,The diplomat worked a disappointing three days in Nairobi., good,0.9935345806511874
496,temporal,1,disappointing,three,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked a disappointing three weeks in Nairobi., good,0.9915442853670708
497,temporal,1,disappointing,three,months,adj-ambig,num-num,noun-temporal,The diplomat worked a disappointing three months in Nairobi., good,0.9943269071124963
498,temporal,1,disappointing,three,years,adj-ambig,num-num,noun-temporal,The diplomat worked a disappointing three years in Nairobi., good,0.9951454018373587
499,temporal,1,disappointing,three,hours,adj-ambig,num-num,noun-temporal,The diplomat worked a disappointing three hours in Nairobi., good,0.9934992365852221
500,temporal,1,disappointing,five,days,adj-ambig,num-num,noun-temporal,The diplomat worked a disappointing five days in Nairobi., good,0.99509724333901
501,temporal,1,disappointing,five,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked a disappointing five weeks in Nairobi., good,0.9936425867108929
502,temporal,1,disappointing,five,months,adj-ambig,num-num,noun-temporal,The diplomat worked a disappointing five months in Nairobi., good,0.9958042169969327
503,temporal,1,disappointing,five,years,adj-ambig,num-num,noun-temporal,The diplomat worked a disappointing five years in Nairobi., good,0.9962144805127523
504,temporal,1,disappointing,five,hours,adj-ambig,num-num,noun-temporal,The diplomat worked a disappointing five hours in Nairobi., good,0.9950958119921646
505,temporal,1,disappointing,twenty,days,adj-ambig,num-num,noun-temporal,The diplomat worked a disappointing twenty days in Nairobi., good,0.9924357125182811
506,temporal,1,disappointing,twenty,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked a disappointing twenty weeks in Nairobi., good,0.9909024642894003
507,temporal,1,disappointing,twenty,months,adj-ambig,num-num,noun-temporal,The diplomat worked a disappointing twenty months in Nairobi., good,0.9936297694997409
508,temporal,1,disappointing,twenty,years,adj-ambig,num-num,noun-temporal,The diplomat worked a disappointing twenty years in Nairobi., good,0.9930994687639638
509,temporal,1,disappointing,twenty,hours,adj-ambig,num-num,noun-temporal,The diplomat worked a disappointing twenty hours in Nairobi., good,0.9926943956152599
510,temporal,1,surprising,three,days,adj-ambig,num-num,noun-temporal,The diplomat worked a surprising three days in Nairobi., good,0.99470229917588
511,temporal,1,surprising,three,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked a surprising three weeks in Nairobi., good,0.9925087281040131
512,temporal,1,surprising,three,months,adj-ambig,num-num,noun-temporal,The diplomat worked a surprising three months in Nairobi., good,0.9928239765005953
513,temporal,1,surprising,three,years,adj-ambig,num-num,noun-temporal,The diplomat worked a surprising three years in Nairobi., good,0.9953168259177603
514,temporal,1,surprising,three,hours,adj-ambig,num-num,noun-temporal,The diplomat worked a surprising three hours in Nairobi., good,0.994311112355027
515,temporal,1,surprising,five,days,adj-ambig,num-num,noun-temporal,The diplomat worked a surprising five days in Nairobi., good,0.99597069850697
516,temporal,1,surprising,five,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked a surprising five weeks in Nairobi., good,0.9949141952218679
517,temporal,1,surprising,five,months,adj-ambig,num-num,noun-temporal,The diplomat worked a surprising five months in Nairobi., good,0.9951147090410611
518,temporal,1,surprising,five,years,adj-ambig,num-num,noun-temporal,The diplomat worked a surprising five years in Nairobi., good,0.9967482434496282
519,temporal,1,surprising,five,hours,adj-ambig,num-num,noun-temporal,The diplomat worked a surprising five hours in Nairobi., good,0.9956510332636571
520,temporal,1,surprising,twenty,days,adj-ambig,num-num,noun-temporal,The diplomat worked a surprising twenty days in Nairobi., good,0.9953406097951366
521,temporal,1,surprising,twenty,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked a surprising twenty weeks in Nairobi., good,0.9933859870085835
522,temporal,1,surprising,twenty,months,adj-ambig,num-num,noun-temporal,The diplomat worked a surprising twenty months in Nairobi., good,0.9936013983965281
523,temporal,1,surprising,twenty,years,adj-ambig,num-num,noun-temporal,The diplomat worked a surprising twenty years in Nairobi., good,0.9943930081850166
524,temporal,1,surprising,twenty,hours,adj-ambig,num-num,noun-temporal,The diplomat worked a surprising twenty hours in Nairobi., good,0.9939462111708133
525,temporal,1,devastating,three,days,adj-ambig,num-num,noun-temporal,The diplomat worked a devastating three days in Nairobi., good,0.9937781861444805
526,temporal,1,devastating,three,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked a devastating three weeks in Nairobi., good,0.9930445717426981
527,temporal,1,devastating,three,months,adj-ambig,num-num,noun-temporal,The diplomat worked a devastating three months in Nairobi., good,0.9938568643921346
528,temporal,1,devastating,three,years,adj-ambig,num-num,noun-temporal,The diplomat worked a devastating three years in Nairobi., good,0.9947762680884508
529,temporal,1,devastating,three,hours,adj-ambig,num-num,noun-temporal,The diplomat worked a devastating three hours in Nairobi., good,0.9912180099377498
530,temporal,1,devastating,five,days,adj-ambig,num-num,noun-temporal,The diplomat worked a devastating five days in Nairobi., good,0.9967855566211131
531,temporal,1,devastating,five,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked a devastating five weeks in Nairobi., good,0.9952398757730473
532,temporal,1,devastating,five,months,adj-ambig,num-num,noun-temporal,The diplomat worked a devastating five months in Nairobi., good,0.9965131033927853
533,temporal,1,devastating,five,years,adj-ambig,num-num,noun-temporal,The diplomat worked a devastating five years in Nairobi., good,0.9965837323667053
534,temporal,1,devastating,five,hours,adj-ambig,num-num,noun-temporal,The diplomat worked a devastating five hours in Nairobi., good,0.9951219180761719
535,temporal,1,devastating,twenty,days,adj-ambig,num-num,noun-temporal,The diplomat worked a devastating twenty days in Nairobi., good,0.992152191613032
536,temporal,1,devastating,twenty,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked a devastating twenty weeks in Nairobi., good,0.9924880468196153
537,temporal,1,devastating,twenty,months,adj-ambig,num-num,noun-temporal,The diplomat worked a devastating twenty months in Nairobi., good,0.9935710599365332
538,temporal,1,devastating,twenty,years,adj-ambig,num-num,noun-temporal,The diplomat worked a devastating twenty years in Nairobi., good,0.9924484685749592
539,temporal,1,devastating,twenty,hours,adj-ambig,num-num,noun-temporal,The diplomat worked a devastating twenty hours in Nairobi., good,0.9921360340500829
540,temporal,1,pathetic,three,days,adj-ambig,num-num,noun-temporal,The diplomat worked a pathetic three days in Nairobi., good,0.9586530717282544
541,temporal,1,pathetic,three,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked a pathetic three weeks in Nairobi., good,0.9656271291050731
542,temporal,1,pathetic,three,months,adj-ambig,num-num,noun-temporal,The diplomat worked a pathetic three months in Nairobi., good,0.9789561970460996
543,temporal,1,pathetic,three,years,adj-ambig,num-num,noun-temporal,The diplomat worked a pathetic three years in Nairobi., good,0.9743035021771792
544,temporal,1,pathetic,three,hours,adj-ambig,num-num,noun-temporal,The diplomat worked a pathetic three hours in Nairobi., good,0.9601488542786668
545,temporal,1,pathetic,five,days,adj-ambig,num-num,noun-temporal,The diplomat worked a pathetic five days in Nairobi., good,0.9783028141023443
546,temporal,1,pathetic,five,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked a pathetic five weeks in Nairobi., good,0.9775990669445997
547,temporal,1,pathetic,five,months,adj-ambig,num-num,noun-temporal,The diplomat worked a pathetic five months in Nairobi., good,0.9841436370215189
548,temporal,1,pathetic,five,years,adj-ambig,num-num,noun-temporal,The diplomat worked a pathetic five years in Nairobi., good,0.9816557521298858
549,temporal,1,pathetic,five,hours,adj-ambig,num-num,noun-temporal,The diplomat worked a pathetic five hours in Nairobi., good,0.9727289325229123
550,temporal,1,pathetic,twenty,days,adj-ambig,num-num,noun-temporal,The diplomat worked a pathetic twenty days in Nairobi., good,0.9585976344241015
551,temporal,1,pathetic,twenty,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked a pathetic twenty weeks in Nairobi., good,0.9656266501541358
552,temporal,1,pathetic,twenty,months,adj-ambig,num-num,noun-temporal,The diplomat worked a pathetic twenty months in Nairobi., good,0.9832335411917471
553,temporal,1,pathetic,twenty,years,adj-ambig,num-num,noun-temporal,The diplomat worked a pathetic twenty years in Nairobi., good,0.9755595413804895
554,temporal,1,pathetic,twenty,hours,adj-ambig,num-num,noun-temporal,The diplomat worked a pathetic twenty hours in Nairobi., good,0.9744382069988697
555,temporal,1,remarkable,three,days,adj-ambig,num-num,noun-temporal,The diplomat worked a remarkable three days in Nairobi., good,0.9948356951117977
556,temporal,1,remarkable,three,weeks,adj-ambig,num-num,noun-temporal,The diplomat worked a remarkable three weeks in Nairobi., good,0.9946482963640942
557,temporal,1,remarkable,three,months,adj-ambig,num-num,noun-temporal,The diplomat worked a remarkable three months in Nairobi., good,0.9953902003926562
558,temporal,1,remarkable,three,years,adj-ambig,num-num,noun-temporal,The diplomat worked a remarkable three years in Nairobi., good,0.9959904849561988
